t
e
s
t=========================================
program opened at: 2020-03-11 00:41:33.575053
=========================================
program opened at: 2020-03-11 00:42:46.448246
=========================================
program opened at: 2020-03-11 00:43:37.760299
=========================================
program opened at: 2020-03-11 00:44:12.246206
=========================================
program opened at: 2020-03-11 00:45:21.414743
=========================================
program opened at: 2020-03-11 00:45:47.680013
=========================================
program opened at: 2020-03-11 00:46:34.036884
=========================================
program opened at: 2020-03-11 00:48:28.316208
=========================================
program opened at: 2020-03-11 00:48:59.313692
=========================================
program opened at: 2020-03-11 00:49:17.401187
=========================================
program opened at: 2020-03-11 00:51:30.032984
=========================================
program opened at: 2020-03-11 00:51:46.116816
=========================================
program opened at: 2020-03-11 00:52:36.087776
=========================================
program opened at: 2020-03-11 00:53:27.308726
=========================================
program opened at: 2020-03-11 00:54:17.443111
=========================================
program opened at: 2020-03-11 00:54:28.300220
=========================================
program opened at: 2020-03-11 00:54:40.259414
=========================================
program opened at: 2020-03-11 00:55:24.620623
=========================================
program opened at: 2020-03-11 00:59:01.923473
=========================================
program opened at: 2020-03-11 00:59:20.930886
=========================================
program opened at: 2020-03-11 00:59:34.684825
=========================================
program opened at: 2020-03-11 01:05:06.609327
=========================================
program opened at: 2020-03-11 01:07:22.074870
=========================================
program opened at: 2020-03-11 01:07:32.442754
=========================================
program opened at: 2020-03-11 01:08:15.225456
=========================================
program opened at: 2020-03-11 01:11:25.945026
=========================================
program closed at: 2020-03-11 01:11:29.113550 
=========================================
program opened at: 2020-03-11 01:11:33.362191
=========================================
program closed at: 2020-03-11 01:11:47.564193 
=========================================
program opened at: 2020-03-11 01:14:41.974167
=========================================
program closed at: 2020-03-11 01:14:48.523600 
=========================================
program opened at: 2020-03-11 01:18:29.654761
=========================================
program closed at: 2020-03-11 01:18:42.106241 
=========================================
program opened at: 2020-03-11 22:46:28.151960
=========================================
program closed at: 2020-03-11 22:46:44.197880 
program opened at: 2020-03-20 01:14:59.470452 
program opened at: 2020-03-20 15:40:23.435592 
=========================================
program opened at: 2020-03-20 15:40:27.577153
Gesture recognized (C) at: 2020-03-20 15:40:34.355996 
Gesture recognized (C) at: 2020-03-20 15:40:34.462710 
Gesture recognized (C) at: 2020-03-20 15:40:34.574411 
Gesture recognized (C) at: 2020-03-20 15:40:34.669157 
Gesture recognized (C) at: 2020-03-20 15:40:34.752933 
Gesture recognized (C) at: 2020-03-20 15:40:34.841695 
Gesture recognized (C) at: 2020-03-20 15:40:34.934447 
Gesture recognized (C) at: 2020-03-20 15:40:35.641555 
Gesture recognized (C) at: 2020-03-20 15:40:35.735305 
Gesture recognized (C) at: 2020-03-20 15:40:35.825065 
Gesture recognized (C) at: 2020-03-20 15:40:35.919811 
Gesture recognized (C) at: 2020-03-20 15:40:36.008574 
Gesture recognized (C) at: 2020-03-20 15:40:36.095344 
Gesture recognized (C) at: 2020-03-20 15:40:36.186100 
Gesture recognized (C) at: 2020-03-20 15:40:36.913154 
Gesture recognized (C) at: 2020-03-20 15:40:37.004909 
Gesture recognized (C) at: 2020-03-20 15:40:37.094668 
Gesture recognized (C) at: 2020-03-20 15:40:37.193404 
Gesture recognized (C) at: 2020-03-20 15:40:37.287154 
Gesture recognized (C) at: 2020-03-20 15:40:37.376913 
Gesture recognized (C) at: 2020-03-20 15:40:37.465676 
Gesture recognized (C) at: 2020-03-20 15:40:38.175777 
Gesture recognized (C) at: 2020-03-20 15:40:38.272518 
Gesture recognized (C) at: 2020-03-20 15:40:38.356294 
Gesture recognized (C) at: 2020-03-20 15:40:38.446053 
Gesture recognized (C) at: 2020-03-20 15:40:38.534816 
Gesture recognized (C) at: 2020-03-20 15:40:38.622582 
Gesture recognized (C) at: 2020-03-20 15:40:38.709349 
Gesture recognized (C) at: 2020-03-20 15:40:39.425433 
Gesture recognized (C) at: 2020-03-20 15:40:39.519184 
Gesture recognized (C) at: 2020-03-20 15:40:39.610938 
Gesture recognized (C) at: 2020-03-20 15:40:39.703690 
Gesture recognized (C) at: 2020-03-20 15:40:39.797438 
Gesture recognized (C) at: 2020-03-20 15:40:39.884206 
Gesture recognized (C) at: 2020-03-20 15:40:39.975961 
Gesture recognized (C) at: 2020-03-20 15:40:40.695037 
